"Claims","Losses","Precipitation"
6,56754.2397660819,5
2,18360.3216374269,0
4,27773.8961988304,5.6
4,44717.6754385965,1.4
2,11416.8932748538,3.4
3,15647.3976608187,4.8
7,96309.4035348014,19
3,23015.5267062315,31
6,582133.382789318,4
4,102353.560830861,3.6
3,100080.200296736,24.2
1,33297.9599406528,0.6
8,118346.891691395,6.4
4,43155.7195845697,7
3,201925.504451039,0
3,110366.928783383,5.4
6,57125.793768546,0
3,26747.8635014837,0.2
3,44729.0059347181,0.2
3,39449.2719167905,2.8
9,133134.650817236,4.4
1,4869.88112927192,15.5
2,18673.0980683507,3
1,578.008915304606,3.8
0,0,0.4
4,21206.6641901932,0
2,35458.9524517088,2.8
3,34476.7236255572,8.8
3,28606.0104011887,18.3
10,98088.1426448737,4.2
11,128136.270430906,8.8
0,0,5.2
5,60797.2512471801,2.6
5,78841.4668652271,1
2,30899.8287416232,0
4,25593.4102755026,3.8
3,20622.3380491437,3.6
1,954.005956813105,0.6
4,19177.9746835443,0
3,32463.3134772896,0.6
2,10900.3276247208,0
1,6176.35889798957,0
2,20974.60908414,0
0,0,1.4
2,11966.0312732688,2.8
5,27170.664091586,0
5,110986.595588235,2
4,29573.25,0
2,25028.6323529412,9.2
4,23405.2058823529,32
6,85698.0147058823,28.8
2,11706.6985294118,0
4,44287.0882352941,36.8
6,70791.4852941176,38.1
6,30221.3602941176,11
3,14655.1102941176,14.4
3,23633.8308823529,7.2
5,212804.213235294,24
4,52636.1005765742,30.5
3,78299.1042584435,38.2
10,129933.502202643,69.8
7,58733.2599118943,25
4,92752.0704845815,6
2,44659.6328928047,3.8
8,112485.03671072,20.6
2,24188.5462555066,9.3
2,40626.5785609398,5.1
2,15320.4111600587,2.6
4,9505.75624082232,16.8
3,25367.0631424376,11.9
4,72023.2599118943,0.6
1,11638.0263157895,10.2
0,0,0
1,4005.30701754386,0
1,8981.20614035088,6.2
2,25018.019005848,0
2,26365.4093567251,0
1,21019.5906432749,1.6
1,8332.47076023392,13.4
4,39535.182748538,0.8
4,25227.1052631579,0.3
4,115496.995614035,4.4
3,48609.1959064327,16
6,38836.4766081871,0.4
6,27756.5425823886,3.9
6,89342.0216606498,23.5
19,173344.873646209,23.9
42,503402.137184116,5.3
19,306669.805054152,2.1
11,404605.263537906,4.8
3,45022.8664259928,1
9,56291.8050541516,3.4
9,176011.19133574,11.4
7,66449.7328519856,5.6
3,33169.4296028881,0.6
6,81019.8989169675,5.4
5,24598.6064981949,5.2
10,64416.6226405364,0
13,69363.4785714286,0.2
5,16981.5714285714,14.4
5,61627.7071428571,0.4
4,18752.2357142857,4.2
2,12238.1928571429,3.8
6,182734.264285714,0
4,46787.1571428571,5.2
2,29600.6357142857,6.6
2,27614.7357142857,11.2
2,4268.05714285714,18.2
26,120066.835714286,67.8
12,86543.6857142857,23.2
8,30486.8050919378,8.6
6,43169.4059405941,31.6
3,14216.2729844413,30.8
14,61920.2828854314,51.6
5,23017.369165488,35.4
4,47575.5162659123,5.6
2,15142.5247524752,1.2
4,57512.1923620933,3.4
4,56582.5601131542,0.4
1,4402.78642149929,2.4
4,35640.7072135785,0
3,11314.0664780764,3
1,7143.14710042433,0
3,16669.9303950329,1.6
2,32396.0958421424,1.6
1,5584.31289640592,1.8
2,18534.8273431994,0.2
1,617.39252995067,3.6
4,71251.5221987315,0
3,18925.1092318534,2.4
5,78840.6483439041,15
3,43208.8231148696,1
0,16422.6920366455,5.6
1,1687.38548273432,0.8
1,1092.41014799154,2.8
3,22297.2868217054,2.3
